,hotel_name,city_id,hotel_adress,hotel_note,hotel_lat,hotel_lon,hotel_href,hotel_desc
10,Hotel Arc-En-Ciel Colmar Contact Hotel,10,"38, Route De Sélestat, 68000 Colmar, France",8.0,48.08745399,7.36068696,https://www.booking.com/hotel/fr/arc-en-ciel-hexagone.fr.html,"L'Hotel Arc-En-Ciel Colmar Contact Hotel vous accueille dans un cadre verdoyant, à seulement 1 km du centre-ville de Colmar, de ses sites historiques et attractions.

Toutes les chambres standard disposent d'une salle de bains privative moderne, d'une télévision ainsi que d'une connexion Wi-Fi gratuite par fibre optique. Des chambres communicantes sont également disponibles.

Cet établissement constitue un pied-à-terre de choix pour explorer la Route des Vins, les villages pittoresques des environs et les parcs de loisirs. Vous pourrez également découvrir la gastronomie régionale et les vins locaux.

L'hôtel propose également un parking privé gratuit, un hangar à vélos, une terrasse extérieure et une véranda où vous pourrez prendre votre petit-déjeuner ou profiter d'un moment de calme."
11,"L'île d'Olive, appartement entier 2 à 4 personnes terrasse 25 m2 Besançon, proche CV, Micropolis et CHU",12,"2 Rue Parguez, 25000 Besançon, France",9.2,47.2366798,6.0076126,https://www.booking.com/hotel/fr/appartement-tres-calme-a-besancon-pour-2-personnes-avec-grande-terrasse.fr.html,"L'île d'Olive est située à Besançon, en Franche-Comté, à proximité de la gare de Besançon Viotte et du musée du Temps. appartement entier 2 L'hébergement à 4 personnes terrasse 25 m2 Besançon, proche CV, Micropolis et CHU propose gratuitement une connexion Wi-Fi et un parking privé. Occupant un bâtiment datant de 1998, cet appartement se trouve à 3,4 km de la gare de Besançon-Mouillère et à 12 km de la gare TGV de Besançon Franche-Comté. Cet établissement non-fumeurs se trouve à 3,1 km de Micropolis.

Offrant une vue paisible sur la rue, cet appartement dispose d'une terrasse, d'une chambre, d'un salon, d'une télévision à écran plat, d'une cuisine équipée avec un lave-vaisselle et un four, ainsi que d'une salle de bains pourvue d'une douche. Les serviettes et le linge de lit sont fournis. L'établissement possède un coin repas extérieur.

Vous pourrez pratiquer diverses activités à Besançon et dans les environs, telles que la randonnée.

L'île d'Olive, appartement entier 2 à 4 personnes terrasse 25 m2 Besançon, proche CV, Micropolis et CHU se trouve à 1,5 km du musée des beaux-arts et d'archéologie de Besançon et à 2,5 km de la cathédrale Saint-Jean de Besançon. L'aéroport de Dole-Jura, le plus proche, est implanté à 58 km."
12,L Oriel du Rempart Nord,11,"23 Rue du Rempart Nord, 68420 Eguisheim, France",8.5,48.0437022,7.30599767,https://www.booking.com/hotel/fr/gite-l-39-aubaine.fr.html,"Occupant un bâtiment historique, l'établissement L Oriel du Rempart Nord propose des hébergements avec un jardin et une connexion Wi-Fi gratuite à Eguisheim, à 5,6 km de la gare de Colmar. Occupant un bâtiment datant du XVIIe siècle, cette maison de vacances se trouve à 6,8 km de la collégiale Saint-Martin et à 10 km de Colmar Expo. Cet établissement non-fumeurs se trouve à 6,4 km de la Maison des Têtes.

Offrant une vue sur le jardin, cette maison de vacances comprend une terrasse, 2 chambres, un salon, une télévision à écran plat, une cuisine équipée d'un lave-vaisselle et d'un four ainsi qu'une salle de bains pourvue d'une douche. Vous pourrez prendre vos repas dans le coin repas extérieur tout en admirant la vue sur la rue calme. Pour plus d'intimité, l'hébergement dispose d'une entrée privée.

Vous pourrez pratiquer diverses activités à Eguisheim et dans ses environs, telles que le ski, la randonnée et des visites à pied. Un barbecue est également à votre disposition.

Le château du Haut Koenigsbourg se trouve à 34 km, tandis que le parc des expositions de Mulhouse est à 39 km. L'aéroport de Mulhouse-Fribourg, le plus proche, est implanté à 54 km."
13,Le gîte de Ninon et Léon.,11,"35A rue de Colmar, 68420 Eguisheim, France",8.8,48.049874,7.307301,https://www.booking.com/hotel/fr/le-gite-de-ninon-et-leon.fr.html,"Le gîte de Ninon et Léon.Doté d'un barbecue, l'établissement est situé à Eguisheim, à 6,3 km de la collégiale Saint-Martin, à 9 km de Colmar Expo et à 34 km du château du Haut Koenigsbourg. Situé à 5,2 km de la gare de Colmar, l'établissement dispose d'un jardin et d'un parking privé gratuit. Cet établissement non-fumeurs se trouve à 5,9 km de la Maison des Têtes.

Offrant une vue sur la montagne, cet appartement comprend une terrasse, une chambre, un salon, une télévision à écran plat, une kitchenette équipée avec un micro-ondes et un réfrigérateur, ainsi qu'une salle de bains pourvue d'une douche à l'italienne. Les serviettes et le linge de lit sont fournis. L'établissement possède un coin repas extérieur.

Vous séjournerez à 39 km du parc des expositions de Mulhouse et à 41 km de la gare de Mulhouse. L'aéroport le plus proche, celui de Mulhouse-Fribourg, est situé à 54 km."
14,Chez Jade et Ambre,11,"19 Rue du Rempart Nord, 68420 Eguisheim, France",8.7,48.0437697,7.3054,https://www.booking.com/hotel/fr/chez-jade-et-ambre.fr.html,"Situé à Eguisheim, à seulement 5,8 km de la gare de Colmar, l'établissement Chez Jade et Ambre propose un hébergement avec vue sur la ville, connexion Wi-Fi et parking privé gratuits. Pour votre confort, l'appartement possède une entrée privée. Vous pourrez vous détendre ou dîner à l'extérieur avec du mobilier de jardin.

Tous les logements comprennent une télévision par satellite à écran plat, du matériel de repassage, un bureau, un coin salon avec un canapé ainsi qu'une cuisine entièrement équipée avec un lave-vaisselle et un micro-ondes. Un grille-pain, un réfrigérateur, des plaques de cuisson, une machine à café et une bouilloire sont également fournis. Leur salle de bains privative est pourvue d'une douche et d'un sèche-cheveux.

Vous pourrez également vous détendre dans le jardin.

Vous séjournerez à 6,7 km de la Maison des Têtes et à 7,1 km de la collégiale Saint-Martin. L'aéroport le plus proche, celui de Mulhouse-Fribourg, est situé à 54 km."
15,Chambre Super Broussard,11,"11 Rue du Riesling, 68420 Eguisheim, France",9.6,48.0424275,7.308131,https://www.booking.com/hotel/fr/chambre-super-broussard.fr.html,"La Chambre Super Broussard est située à Eguisheim, à 6,1 km de la Maison des Têtes, à 6,6 km de la collégiale Saint-Martin et à 9,2 km du parc des expositions Colmar Expo. Vous séjournerez à 33 km du château du Haut Koenigsbourg, à 38 km du parc des expositions de Mulhouse et à 40 km de la gare de Mulhouse. Une connexion Wi-Fi est disponible gratuitement dans l'ensemble de l'établissement et la gare de Colmar se trouve à 5,3 km.

Cette maison d'hôtes est équipée d'une télévision à écran plat. L'hébergement dispose de la climatisation, du chauffage et d'une salle de bains privative.

L'aéroport le plus proche, celui de Mulhouse-Fribourg, est situé à 54 km."
16,ibis Lyon Gerland Musée des Confluences,16,"68 Avenue Leclerc, 7e arr., 69007 Lyon, France",7.9,45.73332499,4.82288003,https://www.booking.com/hotel/fr/ibis-lyon-gerland-7eme.fr.html,"Situé dans le sud de Lyon, sur les rives du Rhône, à 200 mètres des autoroutes A7 et A6, l’ibis Lyon Gerland Musée des Confluences possède une réception ouverte 24h/24, un bar, un restaurant et un parking privé payant. L'hôtel se trouve à 200 mètres de la Halle Tony Garnier et à 600 mètres du musée des Confluences. Vous bénéficierez d’une connexion Wi-Fi gratuite dans l’ensemble des locaux.

Toutes les chambres climatisées comprennent une télévision à écran LCD ainsi qu’une salle de bains privative pourvue d’une douche à l’italienne et d’un sèche-cheveux. Certaines offrent une vue sur le musée des Confluences.

Chaque matin, l’hôtel sert un petit-déjeuner buffet incluant des mets sucrés et salés tels que des œufs, une salade de fruits, des yaourts et des jus de fruits. Des viennoiseries préparées sur place et des madeleines fraîchement cuites au four sont également proposées. Vous pourrez prendre une boisson chaude et un fruit à emporter. Le bar sert le petit-déjeuner jusqu’à midi.

Un petit-déjeuner express est également servi de 6h30 à midi.

L'ibis Lyon Gerland Musée des Confluences possède une terrasse privée, une bagagerie et un ascenseur. L'arrêt de tramway le plus proche vous attend à 200 mètres, et l'aéroport de Lyon Saint-Exupéry est accessible en 30 minutes de route. Le Matmut Stadium Gerland est situé à 1,5 km. Un garage pour les vélos est à votre disposition sur demande."
17,Campanile Lyon Centre - Gare Perrache - Confluence,16,"17 Place Carnot, 2e arr., 69002 Lyon, France",7.3,45.74983048,4.82842818,https://www.booking.com/hotel/fr/campanile-lyon-centre-perrache1.fr.html,"Doté d'une connexion Wi-Fi gratuite dans l'ensemble des locaux, le Campanile Lyon Centre - Gare Perrache - Confluence est situé à Lyon, à 50 mètres de la gare et station de métro Lyon-Perrache.

Toutes les chambres comprennent la climatisation, une télévision à écran plat et un plateau/bouilloire. Leur salle de bains privative est pourvue d'un sèche-cheveux.

Moyennant des frais supplémentaires, vous pourrez déguster un petit-déjeuner buffet quotidien, composé de thé, de café, de pain, de céréales, de viennoiseries, de salade de fruits et de yaourt. Sur place, vous profiterez aussi d'un bar et de journaux gratuits.

Vous séjournerez à 13 minutes à pied de la place Bellecour, tandis que vous rejoindrez le musée des Beaux-Arts de Lyon en 12 minutes en voiture. Enfin, l'aéroport de Lyon-Saint-Exupéry se trouve à 41 minutes de route du Campanile Lyon Centre - Gare Perrache - Confluence."
18,Hôtel Chromatics & Restaurant Hill Club by HappyCulture,16,"12 rue Marc Antoine Petit, 2e arr., 69002 Lyon, France",7.7,45.74468421,4.825809,https://www.booking.com/hotel/fr/perrache.fr.html,"L’Hôtel Chromatics & Restaurant Hill Club by HappyCulture est situé sur la Presqu’île de Lyon, à 6 minutes à pied de la gare et de la station de métro Perrache. Il dispose d'un restaurant sur place, d'une terrasse ombragée et d'un jardin. Une connexion Wi-Fi est disponible gratuitement dans l’ensemble de l’établissement.

Toutes les chambres sont dotées de la climatisation, d’une salle de bains privative et d’une télévision par satellite à écran plat.

Un petit-déjeuner buffet est servi tous les matins. En soirée, vous pourrez vous détendre avec un verre au bar de l'hôtel ou sur la terrasse.

Situé dans le cœur de la ville, l’hôtel se trouve à 800 mètres de la place Carnot et de l’autoroute E15/A6. La vieille ville et la cathédrale Saint-Jean sont à 2,5 km. L’arrêt de tramway Suchet vous attend à 200 mètres de l’établissement. L’hôtel propose, par ailleurs, un tarif préférentiel pour le parking public situé à 4 minutes à pied."
19,MEININGER Hotel Lyon Centre Berthelot,16,"Rue Professeur Zimmermann 7, 7e arr., 69007 Lyon, France",8.3,45.746083,4.837187,https://www.booking.com/hotel/fr/meininger-lyon-centre-berthelot.fr.html,"Situé à Lyon, le MEININGER Hotel Lyon Centre Berthelot propose un bar, un parking privé, un salon commun et une terrasse. Il vous accueille à 200 mètres du musée de la Résistance et à 3,1 km de la basilique Notre-Dame de Fourvière.

Toutes les chambres comprennent une télévision par câble à écran plat et une salle de bains privative.

L’hôtel sert un petit-déjeuner buffet continental.

L'établissement possède une réception ouverte 24h/24 et une cuisine commune. La terrasse est ouverte uniquement pendant le service du petit-déjeuner.

Le MEININGER Hotel Lyon Centre Berthelot se trouve à 2,9 km du musée des Beaux-Arts de Lyon, à 2,4 km du musée des Confluences et à 1,3 km de la gare de Lyon-Perrache. L’aéroport de Lyon-Saint-Exupéry, le plus proche, se trouve à 26 km de l’hébergement."
20,Lyon Marriott Hotel Cité Internationale,16,"70 Quai Charles de Gaulle, 6e arr., 69006 Lyon, France",8.2,45.78492085,4.85289931,https://www.booking.com/hotel/fr/marriott-lyon.fr.html,"Le Lyon Marriott Hôtel Cité Internationale vous propose des chambres climatisées près du Rhône et du parc de la Tête d'Or. Installé au sein du complexe de la Cité Internationale, il met gratuitement à votre disposition une salle de sport et une connexion Wi-Fi.

Toutes les chambres comprennent une télévision à écran plat, un plateau/bouilloire et une radio avec lecteur MP3. Leur salle de bains privative est pourvue d'une baignoire, d'une douche, de peignoirs et de chaussons.

Vous pourrez déguster un petit-déjeuner buffet chaque matin. Ce repas pourra vous être servi en chambre moyennant des frais supplémentaires. Agrémenté d'une terrasse, le restaurant Zucca propose une cuisine italienne avec des fromages et des vins raffinés. Pendant le brunch du dimanche, les enfants pourront profiter d'activités dans une salle prévue à cet effet.

L'établissement se trouve à deux pas du centre des congrès et d'un arrêt de bus desservant le centre-ville de Lyon, accessible en seulement 10 minutes de route. Vous rejoindrez l’aéroport de Lyon-Saint-Exupéry en 30 minutes en voiture."
21,Hôtel du Parc,16,"16 Boulevard des Brotteaux, 6e arr., 69006 Lyon, France",7.2,45.76894586,4.85686898,https://www.booking.com/hotel/fr/du-parc-lyon.fr.html,"L'Hôtel Du Parc est situé dans le centre de Lyon, à 450 mètres de la station de métro Masséna et à 10 minutes à pied de la gare de Lyon Part-Dieu. 

Dotées d'une connexion Wi-Fi gratuite, les chambres insonorisées sont équipées d'une télévision par câble à écran plat et d'une salle de bains privative.

Tous les matins, l'Hotel Du Parc sert un petit-déjeuner buffet dans la salle prévue à cet effet.

Sur place, vous profiterez également d'une réception ouverte 24h/24, ainsi que d'un service de blanchisserie et de nettoyage à sec.

L'Hôtel du Parc est facilement accessible depuis les villes nouvelle et ancienne de Lyon. Enfin, vous séjournerez à 800 mètres du parc de la Tête d'Or et à 400 mètres du parc des expositions Espace Tête d'Or."
22,Ibis Styles Lyon Croix Rousse,16,"48 Rue Henon, 4e arr., 69004 Lyon, France",7.3,45.77968335,4.82668072,https://www.booking.com/hotel/fr/hotel-lyon-croix-rousse-henon-futur-ibis-style.fr.html,"L'hôtel Ibis Styles Lyon Croix Rousse est situé dans le centre de Lyon, dans le quartier de la Croix Rousse. Doté d’une connexion Wi-Fi gratuite et d’un parking payant, ce logement se trouve à 100 mètres de la station de métro Hénon.

Toutes les chambres sont insonorisées et équipées de la climatisation et d'une télévision par satellite à écran plat.

Un petit-déjeuner buffet est proposé tous les matins.

Le Vieux Lyon (la vieille ville) se trouve à 2 km et la place Bellecour est à 3 km."
23,Hôtel Lyon Métropole,16,"85 quai Joseph Gillet, 4e arr., 69004 Lyon, France",8.0,45.7887196,4.81984109,https://www.booking.com/hotel/fr/lyon-metropole.fr.html,"Situé sur les rives de la Saône, l'Hôtel Lyon Métropole propose des hébergements avec une réception ouverte 24h/24 et une connexion Wi-Fi gratuite. Un parking est disponible gratuitement sur place.

Toutes les chambres disposent de la climatisation, d'une télévision à écran plat et d'une salle de bains privative avec des toilettes séparées. Certains logements comprennent un coin salon et repas, une kitchenette, un réfrigérateur, des plaques de cuisson et un micro-ondes.

Un petit-déjeuner buffet est proposé tous les matins à l’hôtel, et vous trouverez également un bar sur place.

Le centre de bien-être comprend une piscine, un spa, un sauna, un bain à remous et une salle de sport. Vous pourrez également louer des vélos à proximité.

L’hôtel se trouve à 3 km du centre-ville de Lyon. La station de métro Cuire est à 20 minutes de marche."
24,Hôtel des Facultés,16,"104 Rue Sébastien Gryphe, 7e arr., 69007 Lyon, France",5.8,45.7487964,4.83990937,https://www.booking.com/hotel/fr/des-facultes.fr.html,"L'Hôtel des Facultés est situé dans le centre de Lyon, à 400 mètres de la station de métro Jean Macé et à 15 minutes à pied de la place Bellecour.  Il propose des chambres dotées d'une connexion Wi-Fi gratuite.

Les chambres sont équipées du chauffage et d'une télévision. Certaines possèdent une salle de bains privative.

L'hôtel Facultés se trouve à 1,5 km de la gare TGV de Lyon-Perrache.  L'arrêt de tramway Rue de l'Université se trouve à seulement 300 mètres de l'hôtel et l'aéroport de Lyon Saint-Exupéry est à 20 km."
25,ibis budget Lyon Gerland,16,"1 Rue Jules Carteret, 7e arr., 69007 Lyon, France",6.7,45.7261501,4.8407659,https://www.booking.com/hotel/fr/ibis-budget-lyon-gerland.fr.html,"L'ibis budget Lyon Gerland propose un petit-déjeuner buffet et une connexion Wi-Fi gratuite dans les chambres. Il est situé à 10 minutes à pied de la station de métro Stade de Gerland et à seulement 3 km de l'autoroute A7, qui vous permettra de rejoindre facilement Chambéry, Grenoble et le sud de la France. L'établissement bénéficie d'un accès à un parking fermé gratuit, dont les places sont soumises à disponibilité.

Les chambres sobres et colorées comprennent une télévision à écran plat et un petit bureau. Toutes sont dotées de parquet et de chauffage mais ne sont pas équipées de la climatisation.

Le Lyon Gerland ibis budget est un hôtel entièrement non-fumeurs. Sur place, vous disposerez d'une réception ouverte 24h/24, ainsi que de distributeurs automatiques de nourriture et de boissons.

Vous séjournerez à 1 km du stade de Gerland et à 5 km du centre-ville de Lyon. Le parcours de golf de Salvagny est quant à lui accessible à 18 km de l'ibis budget Lyon Gerland."
26,"Les Bulles de Mona ""Le 149"" -PROXIMITE GARE DE LYON-",16,"149 Rue Baraban, 3e arr., 69003 Lyon, France",8.6,45.7553621,4.8671714999999995,https://www.booking.com/hotel/fr/les-bulles-de-mona-proximite-gare-de-lyon.fr.html,"Doté d'une baignoire spa, l'établissement Les Bulles de Mona ""Le 149"" -PROXIMITE La GARE DE LYON- est située à Lyon. Offrant une vue sur la ville et la cour intérieure, il se trouve à 1,4 km de la gare de la Part-Dieu. Vous pourrez accéder à l'appartement par une entrée privée.

Les logements comprennent la climatisation, une télévision à écran plat avec des services de streaming, un micro-ondes, une machine à café, un jacuzzi, des articles de toilette gratuits et un bureau. Les logements comprennent une salle de bains privative et une connexion Wi-Fi gratuite. Le linge de lit et les serviettes sont fournis.

Pour ces soirs où vous préférez ne pas dîner dehors, vous pouvez choisir de cuisiner dans votre cuisine.

Vous pourrez pratiquer diverses activités à Lyon et dans ses environs, telles que le vélo, la randonnée et la marche.

Le musée Miniature et Cinéma se trouve à 4 km. ""Le 149"" -PROXIMITE Gare de Lyon-, tandis que le musée des Beaux-Arts de Lyon est à 4,5 km. L'aéroport le plus proche, celui de Lyon-Saint-Exupéry, est situé à 23 km. Un service de navette aéroport peut être assuré moyennant des frais supplémentaires."
